split,k,stratum,architecture,sample_index,source_window_index,nll
calibration,4,global,"1,3,12,15",0,720,6.379086971282959
calibration,4,global,"1,3,12,15",1,3796,6.3022966384887695
calibration,4,global,"1,3,12,15",2,2979,5.745998382568359
calibration,4,global,"1,3,12,15",3,3195,5.9342360496521
calibration,4,global,"1,3,12,15",4,3348,5.678084850311279
calibration,4,global,"1,3,12,15",5,636,6.897732734680176
calibration,4,global,"1,3,12,15",6,655,5.693781852722168
calibration,4,global,"1,3,12,15",7,4470,6.322673320770264
calibration,4,global,"1,3,12,15",8,3767,5.718720436096191
calibration,4,global,"1,3,12,15",9,1123,6.524784564971924
calibration,4,global,"1,3,12,15",10,1907,5.394503116607666
calibration,4,global,"1,3,12,15",11,4325,7.0716166496276855
calibration,4,global,"1,3,12,15",12,3374,6.755405426025391
calibration,4,global,"1,3,12,15",13,552,5.530518531799316
calibration,4,global,"1,3,12,15",14,1983,5.956692218780518
calibration,4,global,"1,3,12,15",15,279,5.165311336517334
calibration,4,global,"1,3,12,15",16,3116,5.62288236618042
calibration,4,global,"1,3,12,15",17,3247,6.907574653625488
calibration,4,global,"1,3,12,15",18,4798,7.992768287658691
calibration,4,global,"1,3,12,15",19,2782,5.938681125640869
calibration,4,global,"1,3,12,15",20,2029,5.722473621368408
calibration,4,global,"1,3,12,15",21,3681,5.6892290115356445
calibration,4,global,"1,3,12,15",22,252,6.135296821594238
calibration,4,global,"1,3,12,15",23,2694,6.1436309814453125
calibration,4,global,"1,3,12,15",24,1696,6.040935516357422
calibration,4,global,"1,3,12,15",25,1,5.71462869644165
calibration,4,global,"1,3,12,15",26,1432,6.175655841827393
calibration,4,global,"1,3,12,15",27,3131,6.210962295532227
calibration,4,global,"1,3,12,15",28,4718,5.904233932495117
calibration,4,global,"1,3,12,15",29,2055,5.113831520080566
calibration,4,global,"1,3,12,15",30,4817,5.774035453796387
calibration,4,global,"1,3,12,15",31,2110,5.940603733062744
calibration,4,global,"1,3,12,15",32,4972,7.380751132965088
calibration,4,global,"1,3,12,15",33,3779,5.960414886474609
calibration,4,global,"1,3,12,15",34,4553,4.861060619354248
calibration,4,global,"1,3,12,15",35,4505,6.8864874839782715
calibration,4,global,"1,3,12,15",36,779,5.9177775382995605
calibration,4,global,"1,3,12,15",37,375,5.570180416107178
calibration,4,global,"1,3,12,15",38,3175,5.708310604095459
calibration,4,global,"1,3,12,15",39,1099,5.181880950927734
calibration,4,global,"1,3,12,15",40,3387,6.184762477874756
calibration,4,global,"1,3,12,15",41,3081,4.8736066818237305
calibration,4,global,"1,3,12,15",42,461,6.0504045486450195
calibration,4,global,"1,3,12,15",43,429,6.1859540939331055
calibration,4,global,"1,3,12,15",44,2649,8.16586685180664
calibration,4,global,"1,3,12,15",45,1815,6.208701133728027
calibration,4,global,"1,3,12,15",46,4318,5.362725734710693
calibration,4,global,"1,3,12,15",47,226,6.34844446182251
calibration,4,global,"1,3,12,15",48,4210,8.061712265014648
calibration,4,global,"1,3,12,15",49,892,6.801241874694824
calibration,4,global,"1,3,12,15",50,2021,6.250768661499023
calibration,4,global,"1,3,12,15",51,2579,5.9568772315979
calibration,4,global,"1,3,12,15",52,2843,5.7238264083862305
calibration,4,global,"1,3,12,15",53,2661,5.974672317504883
calibration,4,global,"1,3,12,15",54,426,5.953314304351807
calibration,4,global,"1,3,12,15",55,768,5.663690567016602
calibration,4,global,"1,3,12,15",56,2163,6.426639080047607
calibration,4,global,"1,3,12,15",57,2378,5.311882495880127
calibration,4,global,"1,3,12,15",58,1777,5.486220836639404
calibration,4,global,"1,3,12,15",59,2019,5.939718246459961
calibration,4,global,"1,3,12,15",60,611,5.395539283752441
calibration,4,global,"1,3,12,15",61,1632,7.593273162841797
calibration,4,global,"1,3,12,15",62,1668,6.5986714363098145
calibration,4,global,"1,3,12,15",63,2131,6.316174030303955
calibration,4,global,"1,3,12,15",64,4582,2.800579071044922
calibration,4,global,"1,3,12,15",65,3185,5.498317718505859
calibration,4,global,"1,3,12,15",66,3604,5.939891815185547
calibration,4,global,"1,3,12,15",67,2688,5.666604995727539
calibration,4,global,"1,3,12,15",68,1024,6.3621907234191895
calibration,4,global,"1,3,12,15",69,3447,5.925643444061279
calibration,4,global,"1,3,12,15",70,1624,4.984384536743164
calibration,4,global,"1,3,12,15",71,683,5.640693664550781
calibration,4,global,"1,3,12,15",72,3712,5.374378681182861
calibration,4,global,"1,3,12,15",73,4597,4.860013484954834
calibration,4,global,"1,3,12,15",74,2003,6.5462212562561035
calibration,4,global,"1,3,12,15",75,38,5.8829240798950195
calibration,4,global,"1,3,12,15",76,2557,6.001020908355713
calibration,4,global,"1,3,12,15",77,648,5.403301239013672
calibration,4,global,"1,3,12,15",78,2091,6.267057418823242
calibration,4,global,"1,3,12,15",79,2261,5.88856840133667
calibration,4,global,"1,3,12,15",80,2086,6.234882354736328
calibration,4,global,"1,3,12,15",81,4297,5.385446548461914
calibration,4,global,"1,3,12,15",82,3993,5.792648792266846
calibration,4,global,"1,3,12,15",83,559,5.537257671356201
calibration,4,global,"1,3,12,15",84,3219,5.767082214355469
calibration,4,global,"1,3,12,15",85,3324,6.504234790802002
calibration,4,global,"1,3,12,15",86,4366,5.518813610076904
calibration,4,global,"1,3,12,15",87,323,5.961520671844482
calibration,4,global,"1,3,12,15",88,3151,4.925079345703125
calibration,4,global,"1,3,12,15",89,2912,5.255638599395752
calibration,4,global,"1,3,12,15",90,2892,5.546210765838623
calibration,4,global,"1,3,12,15",91,1031,6.62746000289917
calibration,4,global,"1,3,12,15",92,2905,4.412391185760498
calibration,4,global,"1,3,12,15",93,1747,6.943066120147705
calibration,4,global,"1,3,12,15",94,1426,5.7542405128479
calibration,4,global,"1,3,12,15",95,1288,5.276580810546875
calibration,4,global,"1,3,15,19",0,720,6.829283237457275
calibration,4,global,"1,3,15,19",1,3796,6.549952983856201
calibration,4,global,"1,3,15,19",2,2979,5.813946723937988
calibration,4,global,"1,3,15,19",3,3195,6.326071262359619
calibration,4,global,"1,3,15,19",4,3348,5.744491100311279
calibration,4,global,"1,3,15,19",5,636,6.475306987762451
calibration,4,global,"1,3,15,19",6,655,5.651613712310791
calibration,4,global,"1,3,15,19",7,4470,6.520605564117432
calibration,4,global,"1,3,15,19",8,3767,6.079396724700928
calibration,4,global,"1,3,15,19",9,1123,7.098126411437988
calibration,4,global,"1,3,15,19",10,1907,5.507481098175049
calibration,4,global,"1,3,15,19",11,4325,7.289637565612793
calibration,4,global,"1,3,15,19",12,3374,6.849626064300537
calibration,4,global,"1,3,15,19",13,552,5.746499061584473
calibration,4,global,"1,3,15,19",14,1983,6.087181568145752
calibration,4,global,"1,3,15,19",15,279,5.875796794891357
calibration,4,global,"1,3,15,19",16,3116,5.8602495193481445
calibration,4,global,"1,3,15,19",17,3247,7.289315700531006
calibration,4,global,"1,3,15,19",18,4798,7.572353363037109
calibration,4,global,"1,3,15,19",19,2782,6.219907283782959
calibration,4,global,"1,3,15,19",20,2029,6.073998928070068
calibration,4,global,"1,3,15,19",21,3681,5.819940090179443
calibration,4,global,"1,3,15,19",22,252,6.331279277801514
calibration,4,global,"1,3,15,19",23,2694,6.267553329467773
calibration,4,global,"1,3,15,19",24,1696,6.144808292388916
calibration,4,global,"1,3,15,19",25,1,5.920540809631348
calibration,4,global,"1,3,15,19",26,1432,6.332681179046631
calibration,4,global,"1,3,15,19",27,3131,6.257654666900635
calibration,4,global,"1,3,15,19",28,4718,6.323678493499756
calibration,4,global,"1,3,15,19",29,2055,5.129122257232666
calibration,4,global,"1,3,15,19",30,4817,5.9592061042785645
calibration,4,global,"1,3,15,19",31,2110,6.553408145904541
calibration,4,global,"1,3,15,19",32,4972,7.527681827545166
calibration,4,global,"1,3,15,19",33,3779,5.9371442794799805
calibration,4,global,"1,3,15,19",34,4553,5.213802337646484
calibration,4,global,"1,3,15,19",35,4505,6.8305768966674805
calibration,4,global,"1,3,15,19",36,779,6.173104286193848
calibration,4,global,"1,3,15,19",37,375,5.645158767700195
calibration,4,global,"1,3,15,19",38,3175,6.202136039733887
calibration,4,global,"1,3,15,19",39,1099,5.484099864959717
calibration,4,global,"1,3,15,19",40,3387,6.199499607086182
calibration,4,global,"1,3,15,19",41,3081,4.924793720245361
calibration,4,global,"1,3,15,19",42,461,6.217206001281738
calibration,4,global,"1,3,15,19",43,429,6.3443756103515625
calibration,4,global,"1,3,15,19",44,2649,7.534388065338135
calibration,4,global,"1,3,15,19",45,1815,6.212508201599121
calibration,4,global,"1,3,15,19",46,4318,5.543051719665527
calibration,4,global,"1,3,15,19",47,226,6.611879348754883
calibration,4,global,"1,3,15,19",48,4210,9.760226249694824
calibration,4,global,"1,3,15,19",49,892,7.094655513763428
calibration,4,global,"1,3,15,19",50,2021,6.527537822723389
calibration,4,global,"1,3,15,19",51,2579,6.0134382247924805
calibration,4,global,"1,3,15,19",52,2843,5.875410079956055
calibration,4,global,"1,3,15,19",53,2661,5.97885799407959
calibration,4,global,"1,3,15,19",54,426,6.259878158569336
calibration,4,global,"1,3,15,19",55,768,5.767628192901611
calibration,4,global,"1,3,15,19",56,2163,6.723411560058594
calibration,4,global,"1,3,15,19",57,2378,5.572383403778076
calibration,4,global,"1,3,15,19",58,1777,5.601192474365234
calibration,4,global,"1,3,15,19",59,2019,7.052743911743164
calibration,4,global,"1,3,15,19",60,611,5.654267311096191
calibration,4,global,"1,3,15,19",61,1632,7.407501697540283
calibration,4,global,"1,3,15,19",62,1668,6.524962902069092
calibration,4,global,"1,3,15,19",63,2131,6.6027679443359375
calibration,4,global,"1,3,15,19",64,4582,3.008963108062744
calibration,4,global,"1,3,15,19",65,3185,5.448594093322754
calibration,4,global,"1,3,15,19",66,3604,6.151297569274902
calibration,4,global,"1,3,15,19",67,2688,5.815411567687988
calibration,4,global,"1,3,15,19",68,1024,6.506045818328857
calibration,4,global,"1,3,15,19",69,3447,6.353110313415527
calibration,4,global,"1,3,15,19",70,1624,5.048657417297363
calibration,4,global,"1,3,15,19",71,683,5.342936992645264
calibration,4,global,"1,3,15,19",72,3712,5.6315598487854
calibration,4,global,"1,3,15,19",73,4597,5.15452241897583
calibration,4,global,"1,3,15,19",74,2003,6.9420084953308105
calibration,4,global,"1,3,15,19",75,38,6.311033248901367
calibration,4,global,"1,3,15,19",76,2557,5.946711540222168
calibration,4,global,"1,3,15,19",77,648,5.5914740562438965
calibration,4,global,"1,3,15,19",78,2091,6.33831787109375
calibration,4,global,"1,3,15,19",79,2261,6.0509352684021
calibration,4,global,"1,3,15,19",80,2086,6.3079729080200195
calibration,4,global,"1,3,15,19",81,4297,5.5963544845581055
calibration,4,global,"1,3,15,19",82,3993,5.47330379486084
calibration,4,global,"1,3,15,19",83,559,5.683459758758545
calibration,4,global,"1,3,15,19",84,3219,6.011950969696045
calibration,4,global,"1,3,15,19",85,3324,6.515605926513672
calibration,4,global,"1,3,15,19",86,4366,5.76457405090332
calibration,4,global,"1,3,15,19",87,323,6.3633527755737305
calibration,4,global,"1,3,15,19",88,3151,5.172587871551514
calibration,4,global,"1,3,15,19",89,2912,5.388370990753174
calibration,4,global,"1,3,15,19",90,2892,5.859783172607422
calibration,4,global,"1,3,15,19",91,1031,6.555363178253174
calibration,4,global,"1,3,15,19",92,2905,4.625722885131836
calibration,4,global,"1,3,15,19",93,1747,7.132842063903809
calibration,4,global,"1,3,15,19",94,1426,6.0453057289123535
calibration,4,global,"1,3,15,19",95,1288,5.6475934982299805
calibration,4,global,"1,8,12,15",0,720,5.924731731414795
calibration,4,global,"1,8,12,15",1,3796,6.290553092956543
calibration,4,global,"1,8,12,15",2,2979,5.271026611328125
calibration,4,global,"1,8,12,15",3,3195,5.559985160827637
calibration,4,global,"1,8,12,15",4,3348,8.025675773620605
calibration,4,global,"1,8,12,15",5,636,7.5498456954956055
calibration,4,global,"1,8,12,15",6,655,5.448756217956543
calibration,4,global,"1,8,12,15",7,4470,5.9341139793396
calibration,4,global,"1,8,12,15",8,3767,5.555052280426025
calibration,4,global,"1,8,12,15",9,1123,7.575872898101807
calibration,4,global,"1,8,12,15",10,1907,5.233272552490234
calibration,4,global,"1,8,12,15",11,4325,10.669916152954102
calibration,4,global,"1,8,12,15",12,3374,7.38469123840332
calibration,4,global,"1,8,12,15",13,552,5.162652969360352
calibration,4,global,"1,8,12,15",14,1983,5.994766712188721
