split,first_layer,second_layer,sample_index,source_window_index,nll
calibration,,,0,720,2.9764976501464844
calibration,,,1,3796,2.9913675785064697
calibration,,,2,2979,2.40080189704895
calibration,,,3,3195,2.5334548950195312
calibration,,,4,3348,2.607734441757202
calibration,,,5,636,2.5102949142456055
calibration,,,6,655,2.595299005508423
calibration,,,7,4470,2.661198616027832
calibration,,,8,3767,2.3412933349609375
calibration,,,9,1123,2.5440762042999268
calibration,,,10,1907,2.663752317428589
calibration,,,11,4325,2.735158920288086
calibration,,,12,3374,2.8142738342285156
calibration,,,13,552,2.2565219402313232
calibration,,,14,1983,2.606459379196167
calibration,,,15,279,2.5457825660705566
calibration,,,16,3116,2.826444387435913
calibration,,,17,3247,3.0098557472229004
calibration,,,18,4798,2.8213160037994385
calibration,,,19,2782,2.239896059036255
calibration,,,20,2029,2.7361860275268555
calibration,,,21,3681,2.5951499938964844
calibration,,,22,252,1.9828847646713257
calibration,,,23,2694,2.4280693531036377
calibration,,,24,1696,2.8868658542633057
calibration,,,25,1,3.0034420490264893
calibration,,,26,1432,2.562223434448242
calibration,,,27,3131,2.8209917545318604
calibration,,,28,4718,2.9218530654907227
calibration,,,29,2055,2.498628854751587
calibration,,,30,4817,2.768162965774536
calibration,,,31,2110,2.5072109699249268
calibration,,,32,4972,2.40130352973938
calibration,,,33,3779,2.0381317138671875
calibration,,,34,4553,1.3701717853546143
calibration,,,35,4505,2.3264546394348145
calibration,,,36,779,2.670896053314209
calibration,,,37,375,2.6342198848724365
calibration,,,38,3175,2.648453712463379
calibration,,,39,1099,2.4575700759887695
calibration,,,40,3387,3.172402858734131
calibration,,,41,3081,1.832305908203125
calibration,,,42,461,2.3170080184936523
calibration,,,43,429,2.7646403312683105
calibration,,,44,2649,2.688352108001709
calibration,,,45,1815,2.528489351272583
calibration,,,46,4318,2.5691442489624023
calibration,,,47,226,2.787646532058716
calibration,,,48,4210,2.4647459983825684
calibration,,,49,892,2.4431281089782715
