split,first_layer,second_layer,layer_distance,delta_first_nll,delta_second_nll,actual_pair_delta_nll,additive_prediction_nll,mean_interaction_prediction_nll,linear_regression_prediction_nll,interaction_nll,relative_abs_interaction
validation,1,3,2,3.108133366331458,0.1548208687454462,2.8786052335053682,3.2629542350769043,3.308739206123382,3.3631298551011435,-0.38434900157153606,0.11779172304648562
validation,1,6,5,3.108133366331458,0.10576402954757214,3.424011876806617,3.2138973958790302,3.259682366925508,3.318471294318243,0.21011448092758656,0.06537684781007713
validation,1,8,7,3.108133366331458,0.13919187895953655,3.3685439471155405,3.2473252452909946,3.2931102163374724,3.3489021102700085,0.12121870182454586,0.037328783742967324
validation,1,10,9,3.108133366331458,0.07480810768902302,3.213069202378392,3.182941474020481,3.228726445066959,3.2902907808462163,0.03012772835791111,0.009465373021721244
validation,1,12,11,3.108133366331458,0.06292960233986378,3.397372452542186,3.171062968671322,3.2168479397177996,3.2794772640803744,0.22630948387086391,0.07136707347242864
validation,1,15,14,3.108133366331458,0.07354882918298244,3.2255188915878534,3.1816821955144405,3.2274671665609183,3.289144405200656,0.043836696073412895,0.013777836182134783
validation,1,17,16,3.108133366331458,0.10824565403163433,3.3384997714310884,3.2163790203630924,3.26216399140957,3.3207304243330165,0.12212075106799603,0.03796839560724718
validation,1,19,18,3.108133366331458,0.1631400790065527,3.5508805084973574,3.271273445338011,3.3170584163844885,3.370703191728332,0.2796070631593466,0.08547346097215533
validation,1,21,20,3.108133366331458,0.207956837490201,3.6472309436649084,3.316090203821659,3.361875174868137,3.411501823795954,0.3311407398432493,0.09985878534354195
validation,1,24,23,3.108133366331458,0.21476284973323345,3.5110084917396307,3.3228962160646915,3.3686811871111693,3.4176976308722855,0.18811227567493916,0.05661093920583552
validation,1,26,25,3.108133366331458,0.38574465177953243,3.3867210056632757,3.4938780181109905,3.5396629891574682,3.573349754496781,-0.1071570124477148,0.03066993521017388
validation,3,6,3,0.1548208687454462,0.10576402954757214,0.3632694762200117,0.26058489829301834,0.30636986933949617,0.30553377048843067,0.10268457792699337,0.3940542164938824
validation,3,8,5,0.1548208687454462,0.13919187895953655,0.443690313026309,0.29401274770498276,0.3397977187514606,0.33596458644019606,0.14967756532132626,0.509085291334086
validation,3,10,7,0.1548208687454462,0.07480810768902302,0.2500069048255682,0.22962897643446922,0.27541394748094705,0.2773532570164041,0.020377928391098976,0.08874284381489791
validation,3,12,9,0.1548208687454462,0.06292960233986378,0.24575305543839931,0.21775047108530998,0.2635354421317878,0.2665397402505619,0.028002584353089333,0.12859942030673505
validation,3,15,12,0.1548208687454462,0.07354882918298244,0.23602836392819881,0.22836969792842865,0.2741546689749065,0.27620688137084376,0.0076586659997701645,0.03353626190008098
validation,3,17,14,0.1548208687454462,0.10824565403163433,0.2777381595224142,0.26306652277708054,0.30885149382355837,0.30779290050320396,0.014671636745333672,0.05577158427629442
validation,3,19,16,0.1548208687454462,0.1631400790065527,0.35237266682088375,0.3179609477519989,0.36374591879847673,0.35776566789851955,0.03441171906888485,0.10822624385849132
validation,3,21,18,0.1548208687454462,0.207956837490201,0.37507987581193447,0.3627777062356472,0.40856267728212503,0.39856429996614184,0.01230216957628727,0.033911040741561524
validation,3,24,21,0.1548208687454462,0.21476284973323345,0.35936995409429073,0.36958371847867966,0.4153686895251575,0.404760107042473,-0.010213764384388924,0.027635861304799687
validation,3,26,23,0.1548208687454462,0.38574465177953243,0.49372452311217785,0.5405655205249786,0.5863504915714565,0.5604122306669685,-0.04684099741280079,0.0866518407746584
validation,6,8,2,0.10576402954757214,0.13919187895953655,0.4137590993195772,0.2449559085071087,0.2907408795535865,0.28591732874546394,0.16880319081246853,0.6891166326268461
validation,6,10,4,0.10576402954757214,0.07480810768902302,0.2044489998370409,0.18057213723659515,0.226357108283073,0.227305999321672,0.023876862600445747,0.13222894166202961
validation,6,12,6,0.10576402954757214,0.06292960233986378,0.20252872072160244,0.1686936318874359,0.21447860293391377,0.2164924825558298,0.03383508883416653,0.2005712275893357
validation,6,15,9,0.10576402954757214,0.07354882918298244,0.18860266543924809,0.17931285873055458,0.22509782977703244,0.22615962367611164,0.009289806708693504,0.05180781107646542
validation,6,17,11,0.10576402954757214,0.10824565403163433,0.22017343901097775,0.21400968357920647,0.2597946546256843,0.2577456428084719,0.006163755431771278,0.02880129220643434
validation,6,19,13,0.10576402954757214,0.1631400790065527,0.2951961439102888,0.26890410855412483,0.31468907960060266,0.30771841020378743,0.02629203535616398,0.09777476252606954
validation,6,21,15,0.10576402954757214,0.207956837490201,0.3269670885056257,0.31372086703777313,0.35950583808425096,0.3485170422714098,0.013246221467852592,0.042222953139606424
validation,6,24,18,0.10576402954757214,0.21476284973323345,0.32652959786355495,0.3205268792808056,0.3663118503272834,0.35471284934774094,0.006002718582749367,0.01872766052013546
validation,6,26,20,0.10576402954757214,0.38574465177953243,0.47516906447708607,0.49150868132710457,0.5372936523735824,0.5103649729722365,-0.0163396168500185,0.03324380111842684
validation,8,10,2,0.13919187895953655,0.07480810768902302,0.244077255949378,0.21399998664855957,0.2597849576950374,0.26140873037927714,0.030077269300818443,0.1405479961557787
validation,8,12,4,0.13919187895953655,0.06292960233986378,0.2915028315037489,0.20212148129940033,0.2479064523458782,0.25059521361343495,0.08938135020434856,0.4422159862956325
validation,8,15,7,0.13919187895953655,0.07354882918298244,0.22815213166177273,0.212740708142519,0.2585256791889968,0.2602623547337168,0.01541142351925373,0.07244228739207415
validation,8,17,9,0.13919187895953655,0.10824565403163433,0.24814104847609997,0.24743753299117088,0.2932225040376487,0.29184837386607704,0.0007035154849290848,0.0028432044097133308
validation,8,19,11,0.13919187895953655,0.1631400790065527,0.32001485116779804,0.30233195796608925,0.3481169290125671,0.3418211412613926,0.017682893201708794,0.05848833620060826
