seed,candidate,update,train_nll,gradient_norm,input_tokens_cumulative,effective_labels_cumulative,update_seconds
17,a00,1,2.764253556728363,0.23324573040008545,2048,2044,3.609578455798328
17,a00,2,2.821996808052063,0.2317488044500351,4096,4088,0.7747612111270428
17,a00,3,2.6378538012504578,0.26490598917007446,6144,6132,0.7569415653124452
17,a00,4,2.585982084274292,0.2608853876590729,8192,8176,0.7830260777845979
17,a00,5,2.682435095310211,0.31359294056892395,10240,10220,0.7640473637729883
17,a00,6,2.626795470714569,0.28503406047821045,12288,12264,0.7377909729257226
17,a00,7,2.415097802877426,0.2784649431705475,14336,14308,0.7895351992920041
17,a00,8,2.787018299102783,0.3026747405529022,16384,16352,0.7794619118794799
17,a00,9,2.6956907510757446,0.3258318305015564,18432,18396,0.7594566941261292
17,a00,10,2.8526259064674377,0.3041428029537201,20480,20440,0.9127342887222767
